slug,title,poster_filename,logline,genres,countries,year,runtime,trailer_url,territories,where_to_watch,rating,subtitles_available,localized_versions,licence_expiry,poster_link_pcloud,release_date,amazon_url,tubi_url
unnatural-causes,Unnatural Causes,poster.png,"Whether it's bots in the bloodstream, a silent stranger by the road or even a single, all-consuming thought, death comes in peculiar forms in this wildly creative collection of shorts, offering five gruesome tales of the strange and the unnatural.",Horror; Dark Comedy; Arthouse,"Canada, France, United States, Germany",2023,129 min,https://www.youtube.com/watch?v=ZIy911OubLQ,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-05-05,https://e.pcloud.link/publink/show?code=kZg9mGZ6YHLmsFULVugKF8NN5K3hk4aD6jyy,,,
dragged-beneath-the-shadows,Dragged Beneath the Shadows,poster.png,"From peasant village witches to high school vampires, sink your teeth into six sinister tales of the supernatural and the inhuman, and find out what lies in wait for you beyond the darkness.",Horror,"United States, Mexico, Netherlands, Canada, United Kingdom",2023,73 min,https://www.youtube.com/watch?v=4jwGvCS7a1Y,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-04-14,https://e.pcloud.link/publink/show?code=XZV2MGZzjx0tgX2WuXwmXbxkFqj87mFU38X,,,
from-her-bones,From Her Bones,poster.png,"A teenager is caught between her attraction to a boy and the sinister presence that resides in her attic; a confused townie roams the countryside, convinced that the locals are out to get her; and in a world where everyone has a double, one woman seeks to be her own person. A twisted collection of tales that dig into the human psyche to expose the violent urges and hidden fears that lurk within.",Horror; Arthouse; Thriller; Dark Comedy,"France, Canada, Denmark, Spain",2025,92 min,https://www.youtube.com/watch?v=YLR6EGu_W1w,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,English HOH,None,2028-09-17,https://e.pcloud.link/publink/show?code=kZRqTGZ889Jn7aEcakMUprizBcwTkzV730X,,,
into-her-own,Into Her Own,poster.png,"A chance meeting at a swimming pool sparks a change in the life and perspective of a young refugee forever, the morning after the night before has two unfamiliar girls questioning how they awoke in the same bed and a beautiful, carefree adventurer disrupts a homebody's monotonous lifestyle. An anthology of short films led by girls who find their own way in life.",LGBTQ+; Drama; Coming of Age; Romance,"France, Switzerland, Bulgaria, United States, Netherlands",2022,98 min,https://www.youtube.com/watch?v=8KPGSmdUZmw,Worldwide,Amazon Prime,PG-13 (compilation-level),"English, German",German,14/07/2026,https://e.pcloud.link/publink/show?code=XZV3TGZpJ3Xjukz3PmfWx2ONTBk1LxrlDgk,,,
at-first-glance,At First Glance,poster.png,"An anxious girl tries to figure out whether or not she's on a first date with a woman she met at a party, the arrival and love story of a beautiful young couple stumps the older local villagers in a small part of Spain, and a bored woman returns to the lake she used to holiday at as a child, to discover someone has been there waiting for her return. An anthology of female-focused shorts where things are rarely as they first seem.",LGBTQ+; Drama; Romance,"Spain, Australia, Norway, Germany, Italy",2022,92 min,https://www.youtube.com/watch?v=YRm70W_07eo,Worldwide,Amazon Prime,R,"English, German",German,19/09/2026,https://e.pcloud.link/publink/show?code=XZeugGZ53Cl09dfs2FGqxA43SeutmQySrjX,,,
the-first-taste,The First Taste,poster.png,"A young journalist receives an immersive introduction to the erotic art of shibari, a non-monogamous couple has their dynamic tested by the arrival of an uninvited guest, and a sleeping stranger on a train sends ripples through the relationship of the man and woman who find her. An anthology of female-focused shorts exploring six new flavours of love and desire.",LGBTQ+; Drama; Arthouse,"Canada, Austria, Portugal, France, Germany",2022,96 min,https://www.youtube.com/watch?v=G0dpuXsAeKQ,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,2026-12-15,https://e.pcloud.link/publink/show?code=XZtagGZo00WWCbPtffBoTAo2cnMVbX4lGH7,,,
love-is-never-far,Love is Never Far,poster.png,"A neglected wife finds hope in a passing stranger, a single mother finds love in the most unfortunate of places, and a shy young wallflower gets a little closer to knowing what she wants by trying what she doesn’t. A collection of five tender stories that show us, no matter where you are, Love is Never Far.",LGBTQ+; Drama,"Colombia, United States, Canada, Russia, Singapore",2022,95 min,https://www.youtube.com/watch?v=3eTiU-WvguQ,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2026-12-16,https://e.pcloud.link/publink/show?code=XZQmPGZDPl4hdmpWTyE954zX2PjCpYdvFwX,,,
like-the-first-time,Like the First Time,poster.png,"A long walk home sets the scene for young romance, a trip to the beach becomes an opportunity for quiet reflection and self-acceptance, a naïve mother uncovers the secret life of her daughter, and a sullen teenager sees a new side to her mother. Re-live the journey of young love through six coming-of-age stories exploring chance encounters and hidden longings.",Drama; Romance,"Chile, United States, South Korea, Canada, Brazil",2022,112 min,https://www.youtube.com/watch?v=LdkleH9anjQ,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,"German, English, English HOH",German,2026-12-22,https://e.pcloud.link/publink/show?code=XZfbPGZ9RzA6XrfNJm5IqptNKeaw4BjOcX7,,,
behind-closed-doors,Behind Closed Doors,poster.png,"A famous comedian makes a surprising confession to a closeted stranger, two bickering parents come home to a scandalous discovery, and an art gallery attendant gets a short glimpse into the life of a young woman she once briefly knew. Enter a new world with six enlightening tales of private revelations, lingering secrets and those fleeting moments where the burdens of everyday life are temporarily lifted.",LGBTQ+; Drama,"Canada, Russia, Turkey, Lithuania, Australia, Brazil",2023,122 min,https://www.youtube.com/watch?v=HfD9uqxOkM4,Worldwide,Amazon Prime,NC-17,"English, French, German, Spanish","German, French, Spanish",2027-05-09,https://e.pcloud.link/publink/show?code=XZvbPGZne3G1p0casznSMEghrGmNy6WNw8V,,,
when-you-look-beneath-the-skin,When You Look Beneath the Skin,poster.png,"An awkward couple hides their relationship from the world during an ill-considered holiday, a surprising discovery reshapes a young boy's view of his stern father, and an ambitious teen must confront his sexuality as he considers enrolment in a prestigious all-boys school. Immerse yourself in six contemporary stories exploring hidden passions, unspoken feelings and what it means to find yourself in the eyes of another.",LGBTQ+; Drama; Romance,"United States, Spain, Brazil, France",2023,93 min,https://www.youtube.com/watch?v=sOX8d2FhfW4,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-01-13,https://e.pcloud.link/publink/show?code=XZBhPGZk14a1Mt6zw08nyfJJs6tGbAvWiny,,,
